id,full_position,short_position,sign,key,facet,item
1,1,1,+N1,N1,Anxiety,Worry about things.
2,2,2,+E1,E1,Friendliness,Make friends easily.
3,3,3,+O1,O1,Imagination,Have a vivid imagination.
4,4,4,+A1,A1,Trust,Trust others.
5,5,5,+C1,C1,Self-Efficacy,Complete tasks successfully.
6,6,6,+N2,N2,Anger,Get angry easily.
7,7,7,+E2,E2,Gregariousness,Love large parties.
8,8,8,+O2,O2,Artistic Interests,Believe in the importance of art.
11,11,11,+N3,N3,Depression,Often feel blue.
12,12,12,+E3,E3,Assertiveness,Take charge.
13,13,13,+O3,O3,Emotionality,Experience my emotions intensely.
17,17,17,+E4,E4,Activity Level,Am always busy.
18,18,18,+O4,O4,Adventurousness,Prefer variety to routine.
22,22,22,+E5,E5,Excitement-Seeking,Love excitement.
26,26,26,+N6,N6,Vulnerability,Panic easily.
27,27,27,+E6,E6,Cheerfulness,Radiate joy.
28,28,28,+O6,O6,Liberalism,Tend to vote for liberal political candidates.
29,29,29,+A6,A6,Sympathy,Sympathize with the homeless.
31,31,31,+N1,N1,Anxiety,Fear for the worst.
33,33,33,+O1,O1,Imagination,Enjoy wild flights of fantasy.
34,34,34,+A1,A1,Trust,Believe that others have good intentions.
35,35,35,+C1,C1,Self-Efficacy,Excel in what I do.
36,36,36,+N2,N2,Anger,Get irritated easily.
37,37,37,+E2,E2,Gregariousness,Talk to a lot of different people at parties.
40,40,10,+C2,C2,Orderliness,Like to tidy up.
41,41,41,+N3,N3,Depression,Dislike myself.
42,42,42,+E3,E3,Assertiveness,Try to lead others.
43,43,43,+O3,O3,Emotionality,Feel others' emotions.
45,45,15,+C3,C3,Dutifulness,Keep my promises.
47,47,47,+E4,E4,Activity Level,Am always on the go.
50,50,20,+C4,C4,Achievement-Striving,Work hard.
52,52,52,+E5,E5,Excitement-Seeking,Seek adventure.
53,53,23,+O5,O5,Intellect,Love to read challenging material.
55,55,25,+C5,C5,Self-Discipline,Am always prepared.
56,56,56,+N6,N6,Vulnerability,Become overwhelmed by events.
57,57,57,+E6,E6,Cheerfulness,Have a lot of fun.
58,58,58,+O6,O6,Liberalism,Believe that there is no absolute right or wrong.
59,59,59,+A6,A6,Sympathy,Feel sympathy for those who are worse off than myself.
61,61,61,+N1,N1,Anxiety,Am afraid of many things.
62,62,32,+E1,E1,Friendliness,Feel comfortable around people.
63,63,63,+O1,O1,Imagination,Love to daydream.
64,64,64,+A1,A1,Trust,Trust what people say.
65,65,65,+C1,C1,Self-Efficacy,Handle tasks smoothly.
68,68,38,+O2,O2,Artistic Interests,See beauty in things that others might not notice.
71,71,71,+N3,N3,Depression,Am often down in the dumps.
74,74,14,+A3,A3,Altruism,Love to help others.
76,76,16,+N4,N4,Self-Consciousness,Find it difficult to approach others.
77,77,77,+E4,E4,Activity Level,Do a lot in my spare time.
86,86,86,+N6,N6,Vulnerability,Feel that I'm unable to deal with things.
91,91,91,+N1,N1,Anxiety,Get stressed out easily.
93,93,93,+O1,O1,Imagination,Like to get lost in thought.
99,99,9,-A2,A2,Morality,Use others for my own ends.
104,104,44,+A3,A3,Altruism,Am concerned about others.
105,105,45,+C3,C3,Dutifulness,Tell the truth.
106,106,46,+N4,N4,Self-Consciousness,Am afraid to draw attention to myself.
111,111,21,+N5,N5,Immoderation,Go on binges.
120,120,30,-C6,C6,Cautiousness,Jump into things without thinking.
126,126,66,+N2,N2,Anger,Lose my temper.
132,132,72,+E3,E3,Assertiveness,Take control of things.
136,136,76,+N4,N4,Self-Consciousness,Only feel comfortable with friends.
138,138,48,-O4,O4,Adventurousness,Prefer to stick with things that I know.
140,140,50,+C4,C4,Achievement-Striving,Do more than what's expected of me.
142,142,82,+E5,E5,Excitement-Seeking,Enjoy being reckless.
